Trial,Shape,Size,Response,ResponseTime,Time
1,Quaterfoil-Separated, 0.94, 0, 00:00:03.0446350, 13:14:45.0837530
2,Quaterfoil-Separated, 1, 0, 00:00:02.9358660, 13:14:48.4930320
3,Pentagon, 0.91, 0, 00:00:02.8506180, 13:14:51.9321790
4,Star-Separated, 0.97, 0, 00:00:02.8194150, 13:14:55.4260580
5,Star-Separated, 1.03, 0, 00:00:00.5981390, 13:14:56.7085170
6,Pentagon, 1.06, 0, 00:00:00.2793190, 13:14:59.9121050
7,Star-Separated, 1, 0, 00:00:00.5172260, 13:15:03.6718590
8,Star-Separated, 1.06, 1, 00:00:00.0287570, 13:15:06.7054860
9,Quaterfoil-Separated, 0.91, 1, 00:00:00.0495280, 13:15:10.2499090
10,Star-Separated, 0.91, 1, 00:00:00.1669810, 13:15:13.8886900
11,Star-Separated, 0.94, 0, 00:00:00.0107820, 13:15:17.2410880
12,Quaterfoil-Separated, 1.09, 1, 00:00:00.0280260, 13:15:20.7839580
13,Pentagon, 0.94, 1, 00:00:00.1026130, 13:15:24.3772460
14,Quaterfoil-Separated, 1.06, 1, 00:00:00.1415180, 13:15:27.9389730
