Object,Owner,Time,XPos,Ypos,ZPos,XRot,YRot,ZRot,Status
Square (1),0,14:01:41.5025230,1.421012,-0.7121164,2.941048,359.695,346.3063,0.09486049,Square (1)
Square (1),0,14:01:41.6158040,1.42862,-0.7060743,2.9419,357.3169,345.2447,0.5753744,Square (1)
Square (1),0,14:01:41.7337940,1.429965,-0.7000605,2.945533,351.9912,344.088,0.8276441,Square (1)
Square (1),0,14:01:41.8673630,1.398619,-0.6305118,2.93947,338.2463,333.6355,9.4494,Square (1)
Square (1),0,14:01:41.9822920,1.395202,-0.6055008,2.934313,335.4659,329.6689,10.57041,Square (1)
Square (1),0,14:01:42.0949030,1.39851,-0.5763694,2.920368,325.1675,333.0506,357.5664,Square (1)
Square (1),0,14:01:42.2265470,1.400674,-0.5559343,2.902813,319.9192,338.0933,351.6488,Square (1)
Square (1),0,14:01:42.3323870,1.395744,-0.5494978,2.888582,307.9143,347.3323,324.9043,Square (1)
Square (1),0,14:01:42.4626470,1.389473,-0.537501,2.867167,303.582,2.007484,308.4135,Square (1)
Square (1),0,14:01:42.5706450,1.315561,-0.4518664,2.692312,303.582,2.007484,308.4135,Square (1)
Square (1),0,14:01:42.6959560,1.241648,-0.5074958,2.517458,303.582,2.007484,308.4135,Square (1)
Square (1),0,14:01:42.8206120,1.167736,-0.7043892,2.342604,303.582,2.007484,308.4135,Square (1)
Square (1),0,14:01:42.9319080,1.07489,-0.9648489,2.192804,29.78889,280.9491,11.08701,Square (1)
Square (1),0,14:01:43.0562570,0.9629179,-1.288574,2.067872,29.78889,280.9491,11.08701,Square (1)
Square (1),0,14:01:43.1860730,0.8612032,-1.545659,1.954668,31.13948,274.5817,8.675372,Square (1)
Square (1),0,14:01:43.2915230,0.787247,-1.550074,1.892374,75.83239,299.9097,44.41552,Square (1)
Square (1),0,14:01:43.4185880,0.7748581,-1.5564,1.89113,89.70261,174.3848,283.3437,Square (1)
Square (1),0,14:01:43.5298270,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:43.6557110,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:43.7813470,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:43.8961540,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
Square (1),0,14:01:44.0194640,0.7748477,-1.556424,1.891005,90,251.0609,0,Square (1)
