Bone,Time,XPos,YPos,ZPos,XRot,YRot,ZRot
Left Controller,12:08:36.8467210,1.088047,-0.807627,3.080283,6.864222,90.58637,8.416656
Right Controller,12:08:36.8468070,1.089993,-0.7780037,2.782931,350.7544,98.09416,354.1334
Left Controller,12:08:36.8509840,1.087527,-0.8069256,3.079644,6.530005,91.47087,9.570706
Right Controller,12:08:36.8510920,1.090002,-0.7780001,2.782948,350.7535,98.09271,354.1453
Left Controller,12:08:36.8578980,1.087527,-0.8069256,3.079644,6.530005,91.47087,9.570706
Right Controller,12:08:36.8579780,1.090002,-0.7780001,2.782948,350.7535,98.09271,354.1453
Left Controller,12:08:36.8615610,1.087173,-0.8063548,3.079264,6.282832,92.12425,10.5642
Right Controller,12:08:36.8616800,1.090006,-0.7780003,2.782957,350.7532,98.09411,354.1557
Left Controller,12:08:36.8711500,1.087173,-0.8063548,3.079264,6.282832,92.12425,10.5642
Right Controller,12:08:36.8712340,1.090006,-0.7780003,2.782957,350.7532,98.09411,354.1557
Left Controller,12:08:36.8754890,1.086665,-0.8055784,3.078828,5.820961,92.8073,11.65551
Right Controller,12:08:36.8755980,1.090015,-0.778012,2.782975,350.7586,98.08712,354.1682
Left Controller,12:08:36.8840580,1.086665,-0.8055784,3.078828,5.820961,92.8073,11.65551
Right Controller,12:08:36.8841380,1.090015,-0.778012,2.782975,350.7586,98.08712,354.1682
Left Controller,12:08:36.8891730,1.086471,-0.8052835,3.07853,5.623496,93.17722,12.22254
Right Controller,12:08:36.8892890,1.090014,-0.7780073,2.78298,350.7593,98.08112,354.1693
Left Controller,12:08:36.8973180,1.086471,-0.8052835,3.07853,5.623496,93.17722,12.22254
Right Controller,12:08:36.8974040,1.090014,-0.7780073,2.78298,350.7593,98.08112,354.1693
Left Controller,12:08:36.9034490,1.086422,-0.8053987,3.078339,5.615635,93.28701,12.27647
Right Controller,12:08:36.9035580,1.089996,-0.7779748,2.782979,350.7527,98.07979,354.1664
Left Controller,12:08:36.9110800,1.086422,-0.8053987,3.078339,5.615635,93.28701,12.27647
Right Controller,12:08:36.9112050,1.089996,-0.7779748,2.782979,350.7527,98.07979,354.1664
Left Controller,12:08:36.9155990,1.086457,-0.8057489,3.078209,5.713017,93.24278,12.00826
Right Controller,12:08:36.9157020,1.089968,-0.7779463,2.782971,350.7462,98.07924,354.1587
Left Controller,12:08:36.9248950,1.086457,-0.8057489,3.078209,5.713017,93.24278,12.00826
Right Controller,12:08:36.9249750,1.089968,-0.7779463,2.782971,350.7462,98.07924,354.1587
Left Controller,12:08:36.9291970,1.086565,-0.8062136,3.07819,5.891973,93.09682,11.58945
Right Controller,12:08:36.9293120,1.089944,-0.7779365,2.782962,350.7424,98.07712,354.1572
Left Controller,12:08:36.9344960,1.086565,-0.8062136,3.07819,5.891973,93.09682,11.58945
Right Controller,12:08:36.9345960,1.089944,-0.7779365,2.782962,350.7424,98.07712,354.1572
Left Controller,12:08:36.9389930,1.086627,-0.8065003,3.078218,6.017471,93.04141,11.43004
Right Controller,12:08:36.9391060,1.089935,-0.7779377,2.782951,350.7419,98.07934,354.162
Left Controller,12:08:36.9481470,1.086627,-0.8065003,3.078218,6.017471,93.04141,11.43004
Right Controller,12:08:36.9482260,1.089935,-0.7779377,2.782951,350.7419,98.07934,354.162
Left Controller,12:08:36.9524670,1.08671,-0.8066415,3.078383,6.088334,92.87404,11.17484
Right Controller,12:08:36.9525850,1.089924,-0.7779384,2.782931,350.7416,98.08727,354.1719
Left Controller,12:08:36.9617030,1.08671,-0.8066415,3.078383,6.088334,92.87404,11.17484
Right Controller,12:08:36.9617820,1.089924,-0.7779384,2.782931,350.7416,98.08727,354.1719
Left Controller,12:08:36.9665990,1.086766,-0.8066419,3.07859,6.103843,92.72719,11.01091
Right Controller,12:08:36.9668510,1.089913,-0.7779254,2.782914,350.7403,98.09516,354.1771
Left Controller,12:08:36.9754300,1.086766,-0.8066419,3.07859,6.103843,92.72719,11.01091
Right Controller,12:08:36.9755080,1.089913,-0.7779254,2.782914,350.7403,98.09516,354.1771
Left Controller,12:08:36.9805190,1.086804,-0.8065923,3.078769,6.116152,92.71898,11.11789
Right Controller,12:08:36.9806520,1.0899,-0.7778991,2.782904,350.7358,98.09841,354.1754
Left Controller,12:08:36.9879850,1.086804,-0.8065923,3.078769,6.116152,92.71898,11.11789
Right Controller,12:08:36.9880660,1.0899,-0.7778991,2.782904,350.7358,98.09841,354.1754
Left Controller,12:08:36.9919160,1.086856,-0.8065463,3.078958,6.130065,92.73447,11.30931
Right Controller,12:08:36.9920100,1.089888,-0.7778785,2.782898,350.7314,98.1007,354.1749
Left Controller,12:08:37.0013010,1.086856,-0.8065463,3.078958,6.130065,92.73447,11.30931
Right Controller,12:08:37.0013860,1.089888,-0.7778785,2.782898,350.7314,98.1007,354.1749
Left Controller,12:08:37.0046790,1.086889,-0.8065475,3.079093,6.139542,92.74389,11.44596
Right Controller,12:08:37.0047900,1.089875,-0.7778542,2.782887,350.7253,98.10873,354.1782
Left Controller,12:08:37.0146750,1.086889,-0.8065475,3.079093,6.139542,92.74389,11.44596
Right Controller,12:08:37.0147660,1.089875,-0.7778542,2.782887,350.7253,98.10873,354.1782
Left Controller,12:08:37.0188470,1.086928,-0.8066096,3.079228,6.151666,92.73473,11.55038
Right Controller,12:08:37.0189530,1.089868,-0.7778436,2.78288,350.7231,98.11642,354.1818
Left Controller,12:08:37.0275170,1.086928,-0.8066096,3.079228,6.151666,92.73473,11.55038
Right Controller,12:08:37.0275870,1.089868,-0.7778436,2.78288,350.7231,98.11642,354.1818
Left Controller,12:08:37.0322360,1.086947,-0.8066939,3.07926,6.174997,92.76733,11.64307
Right Controller,12:08:37.0323650,1.089858,-0.7778467,2.782884,350.7231,98.12083,354.1855
Left Controller,12:08:37.0391340,1.086947,-0.8066939,3.07926,6.174997,92.76733,11.64307
Right Controller,12:08:37.0392090,1.089858,-0.7778467,2.782884,350.7231,98.12083,354.1855
Left Controller,12:08:37.0427000,1.086958,-0.8067515,3.079242,6.202308,92.82278,11.73583
Right Controller,12:08:37.0427940,1.089852,-0.7778519,2.782888,350.7226,98.12173,354.1972
Left Controller,12:08:37.0527340,1.086958,-0.8067515,3.079242,6.202308,92.82278,11.73583
Right Controller,12:08:37.0528210,1.089852,-0.7778519,2.782888,350.7226,98.12173,354.1972
Left Controller,12:08:37.0568280,1.086976,-0.8067877,3.07926,6.242533,92.841,11.79865
Right Controller,12:08:37.0569320,1.089839,-0.7778446,2.782887,350.7233,98.12337,354.2059
Left Controller,12:08:37.0659430,1.086976,-0.8067877,3.07926,6.242533,92.841,11.79865
Right Controller,12:08:37.0660270,1.089839,-0.7778446,2.782887,350.7233,98.12337,354.2059
Left Controller,12:08:37.0708040,1.086973,-0.8067951,3.079231,6.264271,92.83749,11.77659
Right Controller,12:08:37.0708980,1.089813,-0.7778331,2.78288,350.7243,98.12295,354.1988
Left Controller,12:08:37.0788920,1.086973,-0.8067951,3.079231,6.264271,92.83749,11.77659
Right Controller,12:08:37.0789680,1.089813,-0.7778331,2.78288,350.7243,98.12295,354.1988
Left Controller,12:08:37.0831080,1.086937,-0.8067446,3.079178,6.236117,92.84954,11.74795
Right Controller,12:08:37.0832240,1.089789,-0.7778194,2.782875,350.7217,98.12048,354.1892
Left Controller,12:08:37.0923110,1.086937,-0.8067446,3.079178,6.236117,92.84954,11.74795
Right Controller,12:08:37.0923770,1.089789,-0.7778194,2.782875,350.7217,98.12048,354.1892
Left Controller,12:08:37.0970120,1.086902,-0.8066837,3.079123,6.194964,92.87189,11.7183
Right Controller,12:08:37.0971150,1.089752,-0.7777924,2.782871,350.7119,98.12201,354.1912
Left Controller,12:08:37.1059390,1.086902,-0.8066837,3.079123,6.194964,92.87189,11.7183
Right Controller,12:08:37.1060140,1.089752,-0.7777924,2.782871,350.7119,98.12201,354.1912
Left Controller,12:08:37.1102590,1.086866,-0.806626,3.079066,6.148379,92.88999,11.68632
Right Controller,12:08:37.1103640,1.089732,-0.7777843,2.782883,350.7056,98.12112,354.2014
Left Controller,12:08:37.1198670,1.086866,-0.806626,3.079066,6.148379,92.88999,11.68632
Right Controller,12:08:37.1199350,1.089732,-0.7777843,2.782883,350.7056,98.12112,354.2014
Left Controller,12:08:37.1235560,1.086878,-0.8066546,3.079068,6.170684,92.88152,11.67129
Right Controller,12:08:37.1236510,1.089723,-0.7777878,2.7829,350.7041,98.11628,354.2068
Left Controller,12:08:37.1342540,1.086878,-0.8066546,3.079068,6.170684,92.88152,11.67129
Right Controller,12:08:37.1343300,1.089723,-0.7777878,2.7829,350.7041,98.11628,354.2068
Left Controller,12:08:37.1391630,1.086886,-0.8067351,3.079047,6.220013,92.89358,11.67665
Right Controller,12:08:37.1392690,1.089725,-0.7777947,2.782909,350.705,98.11916,354.2139
Left Controller,12:08:37.1478240,1.086886,-0.8067351,3.079047,6.220013,92.89358,11.67665
Right Controller,12:08:37.1478940,1.089725,-0.7777947,2.782909,350.705,98.11916,354.2139
Left Controller,12:08:37.1532520,1.086884,-0.8068058,3.079027,6.253329,92.91238,11.68816
Right Controller,12:08:37.1533490,1.089734,-0.7778023,2.782904,350.7096,98.12947,354.2206
Left Controller,12:08:37.1615530,1.086884,-0.8068058,3.079027,6.253329,92.91238,11.68816
Right Controller,12:08:37.1616260,1.089734,-0.7778023,2.782904,350.7096,98.12947,354.2206
Left Controller,12:08:37.1652050,1.086895,-0.8068553,3.079051,6.281916,92.91946,11.7039
Right Controller,12:08:37.1653420,1.089754,-0.7778234,2.782894,350.724,98.14132,354.2177
Left Controller,12:08:37.1755580,1.086895,-0.8068553,3.079051,6.281916,92.91946,11.7039
Right Controller,12:08:37.1756280,1.089754,-0.7778234,2.782894,350.724,98.14132,354.2177
Left Controller,12:08:37.1801120,1.086908,-0.8068851,3.079082,6.310236,92.93146,11.73615
Right Controller,12:08:37.1802320,1.089766,-0.7778342,2.78287,350.7308,98.14625,354.2043
Left Controller,12:08:37.1893890,1.086908,-0.8068851,3.079082,6.310236,92.93146,11.73615
Right Controller,12:08:37.1894650,1.089766,-0.7778342,2.78287,350.7308,98.14625,354.2043
Left Controller,12:08:37.1932730,1.086941,-0.8069475,3.079142,6.359359,92.96648,11.82536
Right Controller,12:08:37.1933840,1.089767,-0.7778438,2.782835,350.7334,98.15647,354.1975
Left Controller,12:08:37.2039010,1.086941,-0.8069475,3.079142,6.359359,92.96648,11.82536
Right Controller,12:08:37.2039770,1.089767,-0.7778438,2.782835,350.7334,98.15647,354.1975
Left Controller,12:08:37.2076700,1.086997,-0.8070684,3.079221,6.420976,92.99367,11.92562
Right Controller,12:08:37.2077940,1.089769,-0.7778641,2.7828,350.7406,98.16636,354.1941
Left Controller,12:08:37.2183950,1.086997,-0.8070684,3.079221,6.420976,92.99367,11.92562
Right Controller,12:08:37.2184650,1.089769,-0.7778641,2.7828,350.7406,98.16636,354.1941
Left Controller,12:08:37.2226400,1.087061,-0.8072033,3.079297,6.475805,92.96622,11.93353
Right Controller,12:08:37.2227320,1.08977,-0.777878,2.782768,350.7468,98.171,354.184
Left Controller,12:08:37.2339210,1.087061,-0.8072033,3.079297,6.475805,92.96622,11.93353
Right Controller,12:08:37.2340140,1.08977,-0.777878,2.782768,350.7468,98.171,354.184
Left Controller,12:08:37.2381690,1.087089,-0.8072584,3.079339,6.49474,92.93859,11.91784
Right Controller,12:08:37.2382670,1.089769,-0.7778648,2.782752,350.745,98.17548,354.1802
Left Controller,12:08:37.2487010,1.087089,-0.8072584,3.079339,6.49474,92.93859,11.91784
Right Controller,12:08:37.2487780,1.089769,-0.7778648,2.782752,350.745,98.17548,354.1802
Left Controller,12:08:37.2524100,1.08714,-0.8073614,3.079391,6.541568,92.92003,11.92291
Right Controller,12:08:37.2524990,1.089758,-0.7778392,2.782747,350.7405,98.17768,354.1768
Left Controller,12:08:37.2633890,1.08714,-0.8073614,3.079391,6.541568,92.92003,11.92291
Right Controller,12:08:37.2634710,1.089758,-0.7778392,2.782747,350.7405,98.17768,354.1768
Left Controller,12:08:37.2675490,1.087183,-0.8074947,3.079427,6.608991,92.91759,11.94912
Right Controller,12:08:37.2676530,1.089741,-0.7778267,2.78275,350.7363,98.17464,354.1723
Left Controller,12:08:37.2778880,1.087183,-0.8074947,3.079427,6.608991,92.91759,11.94912
Right Controller,12:08:37.2779560,1.089741,-0.7778267,2.78275,350.7363,98.17464,354.1723
Left Controller,12:08:37.2821340,1.087209,-0.8076422,3.079494,6.680434,92.90903,11.98895
Right Controller,12:08:37.2822440,1.089728,-0.777832,2.782758,350.7345,98.17496,354.1787
Left Controller,12:08:37.2923420,1.087209,-0.8076422,3.079494,6.680434,92.90903,11.98895
Right Controller,12:08:37.2924300,1.089728,-0.777832,2.782758,350.7345,98.17496,354.1787
Left Controller,12:08:37.2957580,1.087204,-0.807677,3.079553,6.706164,92.91,12.0329
Right Controller,12:08:37.2958520,1.089718,-0.777842,2.782769,350.7326,98.18001,354.1938
Left Controller,12:08:37.3069210,1.087204,-0.807677,3.079553,6.706164,92.91,12.0329
Right Controller,12:08:37.3069960,1.089718,-0.777842,2.782769,350.7326,98.18001,354.1938
Left Controller,12:08:37.3103830,1.087184,-0.8076499,3.079597,6.701706,92.927,12.08787
Right Controller,12:08:37.3104760,1.089713,-0.7778426,2.782772,350.733,98.18739,354.2048
Left Controller,12:08:37.3212110,1.087184,-0.8076499,3.079597,6.701706,92.927,12.08787
Right Controller,12:08:37.3212800,1.089713,-0.7778426,2.782772,350.733,98.18739,354.2048
Left Controller,12:08:37.3243380,1.087104,-0.8074988,3.079668,6.655805,92.98656,12.24306
Right Controller,12:08:37.3244300,1.089698,-0.7778224,2.78277,350.7289,98.19209,354.2061
Left Controller,12:08:37.3357010,1.087104,-0.8074988,3.079668,6.655805,92.98656,12.24306
Right Controller,12:08:37.3357750,1.089698,-0.7778224,2.78277,350.7289,98.19209,354.2061
Left Controller,12:08:37.3399130,1.087039,-0.8073838,3.079696,6.615491,93.02593,12.35545
Right Controller,12:08:37.3400150,1.089679,-0.7777966,2.782764,350.7202,98.19215,354.1962
Left Controller,12:08:37.3498090,1.087039,-0.8073838,3.079696,6.615491,93.02593,12.35545
Right Controller,12:08:37.3498800,1.089679,-0.7777966,2.782764,350.7202,98.19215,354.1962
Left Controller,12:08:37.3543150,1.087022,-0.8073778,3.079702,6.604146,93.05154,12.43181
Right Controller,12:08:37.3544240,1.089664,-0.7777916,2.782754,350.7194,98.19262,354.187
Left Controller,12:08:37.3642590,1.087022,-0.8073778,3.079702,6.604146,93.05154,12.43181
Right Controller,12:08:37.3643410,1.089664,-0.7777916,2.782754,350.7194,98.19262,354.187
Left Controller,12:08:37.3685430,1.087022,-0.8074424,3.079703,6.626412,93.052,12.42426
Right Controller,12:08:37.3686470,1.089669,-0.7778087,2.782745,350.7289,98.19463,354.1855
Left Controller,12:08:37.3784580,1.087022,-0.8074424,3.079703,6.626412,93.052,12.42426
Right Controller,12:08:37.3785360,1.089669,-0.7778087,2.782745,350.7289,98.19463,354.1855
Left Controller,12:08:37.3826680,1.087025,-0.8074666,3.079719,6.630898,93.03732,12.3846
Right Controller,12:08:37.3827640,1.089675,-0.7778193,2.78273,350.7365,98.20355,354.1897
Left Controller,12:08:37.3924960,1.087025,-0.8074666,3.079719,6.630898,93.03732,12.3846
Right Controller,12:08:37.3925710,1.089675,-0.7778193,2.78273,350.7365,98.20355,354.1897
Left Controller,12:08:37.3966510,1.087027,-0.8074638,3.07974,6.624956,93.02485,12.37337
Right Controller,12:08:37.3967580,1.08967,-0.7778135,2.782709,350.7373,98.21262,354.1918
Left Controller,12:08:37.4066350,1.087027,-0.8074638,3.07974,6.624956,93.02485,12.37337
Right Controller,12:08:37.4067210,1.08967,-0.7778135,2.782709,350.7373,98.21262,354.1918
Left Controller,12:08:37.4107970,1.087034,-0.8074706,3.07975,6.63053,93.02374,12.38367
Right Controller,12:08:37.4109030,1.089657,-0.7778019,2.782684,350.7381,98.21829,354.1856
Left Controller,12:08:37.4206690,1.087034,-0.8074706,3.07975,6.63053,93.02374,12.38367
Right Controller,12:08:37.4207470,1.089657,-0.7778019,2.782684,350.7381,98.21829,354.1856
Left Controller,12:08:37.4264630,1.087045,-0.8074901,3.079739,6.639677,93.03674,12.40653
Right Controller,12:08:37.4265890,1.089641,-0.777793,2.782669,350.7383,98.21865,354.1729
Left Controller,12:08:37.4348180,1.087045,-0.8074901,3.079739,6.639677,93.03674,12.40653
Right Controller,12:08:37.4348930,1.089641,-0.777793,2.782669,350.7383,98.21865,354.1729
Left Controller,12:08:37.4409380,1.087066,-0.8075457,3.079728,6.661696,93.04222,12.41347
Right Controller,12:08:37.4410650,1.089625,-0.7777926,2.782651,350.737,98.22298,354.1704
Left Controller,12:08:37.4486570,1.087066,-0.8075457,3.079728,6.661696,93.04222,12.41347
Right Controller,12:08:37.4487360,1.089625,-0.7777926,2.782651,350.737,98.22298,354.1704
Left Controller,12:08:37.4543590,1.087103,-0.8076351,3.079731,6.703051,93.02872,12.40083
Right Controller,12:08:37.4544900,1.089605,-0.7777908,2.782642,350.7317,98.22924,354.178
Left Controller,12:08:37.4631740,1.087103,-0.8076351,3.079731,6.703051,93.02872,12.40083
Right Controller,12:08:37.4633080,1.089605,-0.7777908,2.782642,350.7317,98.22924,354.178
Left Controller,12:08:37.4690830,1.087131,-0.8077043,3.079734,6.736351,93.02346,12.4035
Right Controller,12:08:37.4692110,1.089578,-0.7777811,2.782638,350.7289,98.23227,354.1815
Left Controller,12:08:37.4768880,1.087131,-0.8077043,3.079734,6.736351,93.02346,12.4035
Right Controller,12:08:37.4769690,1.089578,-0.7777811,2.782638,350.7289,98.23227,354.1815
Left Controller,12:08:37.4826940,1.087137,-0.8077238,3.079737,6.744334,93.02699,12.41261
Right Controller,12:08:37.4828480,1.089549,-0.777765,2.782636,350.7271,98.23296,354.176
Left Controller,12:08:37.4906940,1.087137,-0.8077238,3.079737,6.744334,93.02699,12.41261
Right Controller,12:08:37.4907620,1.089549,-0.777765,2.782636,350.7271,98.23296,354.176
Left Controller,12:08:37.4945720,1.087131,-0.8077428,3.079739,6.744033,93.02393,12.42066
Right Controller,12:08:37.4946980,1.089519,-0.7777402,2.782625,350.7219,98.23767,354.1712
Left Controller,12:08:37.5042670,1.087131,-0.8077428,3.079739,6.744033,93.02393,12.42066
Right Controller,12:08:37.5043350,1.089519,-0.7777402,2.782625,350.7219,98.23767,354.1712
Left Controller,12:08:37.5080620,1.087129,-0.8077359,3.07975,6.736231,93.0234,12.43027
Right Controller,12:08:37.5081680,1.089504,-0.7777195,2.782601,350.7161,98.24666,354.172
Left Controller,12:08:37.5184180,1.087129,-0.8077359,3.07975,6.736231,93.0234,12.43027
Right Controller,12:08:37.5185050,1.089504,-0.7777195,2.782601,350.7161,98.24666,354.172
Left Controller,12:08:37.5218450,1.087116,-0.8077227,3.079747,6.724154,93.03452,12.44349
Right Controller,12:08:37.5219410,1.089496,-0.77771,2.782573,350.7122,98.25791,354.1748
Left Controller,12:08:37.5326730,1.087116,-0.8077227,3.079747,6.724154,93.03452,12.44349
Right Controller,12:08:37.5328010,1.089496,-0.77771,2.782573,350.7122,98.25791,354.1748
Left Controller,12:08:37.5390570,1.087101,-0.8077358,3.079741,6.727714,93.04591,12.4583
Right Controller,12:08:37.5392140,1.089491,-0.7777104,2.782535,350.7153,98.27675,354.1761
Left Controller,12:08:37.5466800,1.087101,-0.8077358,3.079741,6.727714,93.04591,12.4583
Right Controller,12:08:37.5467460,1.089491,-0.7777104,2.782535,350.7153,98.27675,354.1761
Left Controller,12:08:37.5506310,1.087089,-0.8077502,3.079736,6.731538,93.05468,12.47434
Right Controller,12:08:37.5507530,1.089487,-0.7777004,2.782508,350.7161,98.28693,354.1691
Left Controller,12:08:37.5605970,1.087089,-0.8077502,3.079736,6.731538,93.05468,12.47434
Right Controller,12:08:37.5606720,1.089487,-0.7777004,2.782508,350.7161,98.28693,354.1691
Left Controller,12:08:37.5640370,1.087083,-0.8077552,3.079737,6.730179,93.0552,12.47955
Right Controller,12:08:37.5641430,1.089467,-0.7776741,2.782479,350.7125,98.29474,354.1522
Left Controller,12:08:37.5746410,1.087083,-0.8077552,3.079737,6.730179,93.0552,12.47955
Right Controller,12:08:37.5747120,1.089467,-0.7776741,2.782479,350.7125,98.29474,354.1522
Left Controller,12:08:37.5786160,1.087085,-0.8077606,3.079745,6.729731,93.04823,12.47021
Right Controller,12:08:37.5787450,1.089441,-0.7776442,2.782455,350.706,98.29825,354.1397
Left Controller,12:08:37.5890080,1.087085,-0.8077606,3.079745,6.729731,93.04823,12.47021
Right Controller,12:08:37.5891070,1.089441,-0.7776442,2.782455,350.706,98.29825,354.1397
Left Controller,12:08:37.5937220,1.087086,-0.8077642,3.079758,6.728315,93.04337,12.46946
Right Controller,12:08:37.5938480,1.089425,-0.7776351,2.782442,350.705,98.3009,354.136
Left Controller,12:08:37.6028560,1.087086,-0.8077642,3.079758,6.728315,93.04337,12.46946
Right Controller,12:08:37.6029300,1.089425,-0.7776351,2.782442,350.705,98.3009,354.136
Left Controller,12:08:37.6067800,1.087085,-0.8077858,3.079772,6.735744,93.04,12.48019
Right Controller,12:08:37.6068820,1.089424,-0.7776409,2.782424,350.7113,98.30686,354.1335
Left Controller,12:08:37.6169230,1.087085,-0.8077858,3.079772,6.735744,93.04,12.48019
Right Controller,12:08:37.6170080,1.089424,-0.7776409,2.782424,350.7113,98.30686,354.1335
Left Controller,12:08:37.6207620,1.087086,-0.8078201,3.079791,6.754643,93.03815,12.49723
Right Controller,12:08:37.6208550,1.089422,-0.777645,2.782416,350.7175,98.3083,354.1296
Left Controller,12:08:37.6310610,1.087086,-0.8078201,3.079791,6.754643,93.03815,12.49723
Right Controller,12:08:37.6311620,1.089422,-0.777645,2.782416,350.7175,98.3083,354.1296
Left Controller,12:08:37.6372630,1.08709,-0.8078575,3.079815,6.774301,93.04476,12.53661
Right Controller,12:08:37.6373700,1.089413,-0.7776361,2.782427,350.7136,98.30537,354.1309
Left Controller,12:08:37.6451600,1.08709,-0.8078575,3.079815,6.774301,93.04476,12.53661
Right Controller,12:08:37.6452340,1.089413,-0.7776361,2.782427,350.7136,98.30537,354.1309
Left Controller,12:08:37.6489670,1.087091,-0.8078509,3.079839,6.774854,93.04569,12.54433
Right Controller,12:08:37.6490560,1.089397,-0.7776144,2.782453,350.704,98.29985,354.1341
Left Controller,12:08:37.6590460,1.087091,-0.8078509,3.079839,6.774854,93.04569,12.54433
Right Controller,12:08:37.6591200,1.089397,-0.7776144,2.782453,350.704,98.29985,354.1341
Left Controller,12:08:37.6623420,1.087093,-0.8078377,3.079862,6.771053,93.03774,12.54471
Right Controller,12:08:37.6624340,1.089391,-0.7776024,2.782473,350.7029,98.29534,354.1328
Left Controller,12:08:37.6731920,1.087093,-0.8078377,3.079862,6.771053,93.03774,12.54471
Right Controller,12:08:37.6732670,1.089391,-0.7776024,2.782473,350.7029,98.29534,354.1328
Left Controller,12:08:37.6779240,1.087102,-0.8078395,3.079868,6.77158,93.03692,12.5566
Right Controller,12:08:37.6780640,1.089395,-0.7776022,2.782488,350.706,98.28916,354.1281
Left Controller,12:08:37.6872060,1.087102,-0.8078395,3.079868,6.77158,93.03692,12.5566
Right Controller,12:08:37.6872800,1.089395,-0.7776022,2.782488,350.706,98.28916,354.1281
Left Controller,12:08:37.6915430,1.087116,-0.8078526,3.079864,6.775733,93.03954,12.56851
Right Controller,12:08:37.6916390,1.089394,-0.7776025,2.782518,350.7046,98.28222,354.1316
Left Controller,12:08:37.7012590,1.087116,-0.8078526,3.079864,6.775733,93.03954,12.56851
Right Controller,12:08:37.7013290,1.089394,-0.7776025,2.782518,350.7046,98.28222,354.1316
Left Controller,12:08:37.7049240,1.087131,-0.8078706,3.079881,6.783312,93.02859,12.57081
Right Controller,12:08:37.7050210,1.089392,-0.777595,2.782553,350.7004,98.27127,354.1414
Left Controller,12:08:37.7151570,1.087131,-0.8078706,3.079881,6.783312,93.02859,12.57081
Right Controller,12:08:37.7152330,1.089392,-0.777595,2.782553,350.7004,98.27127,354.1414
Left Controller,12:08:37.7187800,1.087148,-0.8079053,3.079895,6.806979,93.02424,12.58119
Right Controller,12:08:37.7188820,1.089396,-0.7775929,2.782582,350.7008,98.26144,354.1436
Left Controller,12:08:37.7291850,1.087148,-0.8079053,3.079895,6.806979,93.02424,12.58119
Right Controller,12:08:37.7292550,1.089396,-0.7775929,2.782582,350.7008,98.26144,354.1436
Left Controller,12:08:37.7336220,1.087154,-0.8079238,3.079893,6.818871,93.03121,12.59085
Right Controller,12:08:37.7337480,1.089411,-0.7776121,2.782605,350.7095,98.25445,354.1401
Left Controller,12:08:37.7431920,1.087154,-0.8079238,3.079893,6.818871,93.03121,12.59085
Right Controller,12:08:37.7432670,1.089411,-0.7776121,2.782605,350.7095,98.25445,354.1401
Left Controller,12:08:37.7475810,1.08716,-0.8079436,3.079899,6.831981,93.0423,12.60546
Right Controller,12:08:37.7477040,1.089426,-0.7776322,2.782605,350.7177,98.25558,354.1374
Left Controller,12:08:37.7570910,1.08716,-0.8079436,3.079899,6.831981,93.0423,12.60546
Right Controller,12:08:37.7571640,1.089426,-0.7776322,2.782605,350.7177,98.25558,354.1374
Left Controller,12:08:37.7607200,1.087158,-0.8079702,3.079878,6.84118,93.06647,12.62725
Right Controller,12:08:37.7608170,1.08946,-0.777671,2.782596,350.7335,98.2592,354.135
Left Controller,12:08:37.7709380,1.087158,-0.8079702,3.079878,6.84118,93.06647,12.62725
Right Controller,12:08:37.7710190,1.08946,-0.777671,2.782596,350.7335,98.2592,354.135
Left Controller,12:08:37.7746290,1.087163,-0.8079807,3.07988,6.841552,93.07831,12.64124
Right Controller,12:08:37.7747650,1.0895,-0.7777086,2.782577,350.7523,98.26517,354.1301
Left Controller,12:08:37.7849140,1.087163,-0.8079807,3.07988,6.841552,93.07831,12.64124
Right Controller,12:08:37.7849880,1.0895,-0.7777086,2.782577,350.7523,98.26517,354.1301
Left Controller,12:08:37.7889060,1.087185,-0.8080151,3.079888,6.857977,93.08134,12.65382
Right Controller,12:08:37.7890370,1.08954,-0.7777429,2.782548,350.7716,98.26701,354.1121
Left Controller,12:08:37.7991350,1.087185,-0.8080151,3.079888,6.857977,93.08134,12.65382
Right Controller,12:08:37.7992200,1.08954,-0.7777429,2.782548,350.7716,98.26701,354.1121
Left Controller,12:08:37.8031090,1.087206,-0.8080686,3.079873,6.883217,93.0924,12.67019
Right Controller,12:08:37.8032380,1.08955,-0.7777578,2.782542,350.7777,98.26559,354.1064
Left Controller,12:08:37.8129760,1.087206,-0.8080686,3.079873,6.883217,93.0924,12.67019
Right Controller,12:08:37.8130500,1.08955,-0.7777578,2.782542,350.7777,98.26559,354.1064
Left Controller,12:08:37.8179090,1.087233,-0.8081357,3.079849,6.910281,93.10712,12.69098
Right Controller,12:08:37.8180220,1.089559,-0.7777716,2.782547,350.7807,98.26087,354.1064
Left Controller,12:08:37.8268200,1.087233,-0.8081357,3.079849,6.910281,93.10712,12.69098
Right Controller,12:08:37.8268870,1.089559,-0.7777716,2.782547,350.7807,98.26087,354.1064
Left Controller,12:08:37.8309320,1.087272,-0.8081946,3.079846,6.930245,93.10629,12.69319
Right Controller,12:08:37.8311080,1.089568,-0.777789,2.782562,350.7846,98.25584,354.1077
Left Controller,12:08:37.8407070,1.087272,-0.8081946,3.079846,6.930245,93.10629,12.69319
Right Controller,12:08:37.8407770,1.089568,-0.777789,2.782562,350.7846,98.25584,354.1077
Left Controller,12:08:37.8441860,1.087311,-0.8082273,3.079866,6.941417,93.09575,12.68977
Right Controller,12:08:37.8443100,1.08958,-0.7778068,2.782576,350.7908,98.24985,354.1077
