Bone,Time,XPos,YPos,ZPos,XRot,YRot,ZRot
Left Controller,12:08:30.4531470,1.091315,-0.8088819,3.080593,7.2717,86.14984,5.758311
Right Controller,12:08:30.4532620,1.095708,-0.7857163,2.78574,355.2808,96.617,353.8206
Left Controller,12:08:30.4631820,1.091315,-0.8088819,3.080593,7.2717,86.14984,5.758311
Right Controller,12:08:30.4632510,1.095708,-0.7857163,2.78574,355.2808,96.617,353.8206
Left Controller,12:08:30.4678860,1.091285,-0.8088921,3.08061,7.282672,86.14231,5.759557
Right Controller,12:08:30.4680440,1.09568,-0.7857134,2.785739,355.274,96.62289,353.8253
Left Controller,12:08:30.4772190,1.091285,-0.8088921,3.08061,7.282672,86.14231,5.759557
Right Controller,12:08:30.4773270,1.09568,-0.7857134,2.785739,355.274,96.62289,353.8253
Left Controller,12:08:30.4813490,1.091261,-0.8089212,3.080631,7.302166,86.14246,5.774626
Right Controller,12:08:30.4814480,1.095647,-0.7856979,2.78574,355.2643,96.6245,353.8282
Left Controller,12:08:30.4907590,1.091261,-0.8089212,3.080631,7.302166,86.14246,5.774626
Right Controller,12:08:30.4908280,1.095647,-0.7856979,2.78574,355.2643,96.6245,353.8282
Left Controller,12:08:30.4950840,1.091239,-0.8089816,3.080667,7.328575,86.14497,5.80123
Right Controller,12:08:30.4951870,1.095617,-0.7856832,2.785752,355.2536,96.62296,353.8333
Left Controller,12:08:30.5047240,1.091239,-0.8089816,3.080667,7.328575,86.14497,5.80123
Right Controller,12:08:30.5047970,1.095617,-0.7856832,2.785752,355.2536,96.62296,353.8333
Left Controller,12:08:30.5089240,1.09124,-0.8090742,3.080723,7.373297,86.13371,5.822732
Right Controller,12:08:30.5090290,1.095591,-0.7856544,2.785762,355.2399,96.61943,353.8441
Left Controller,12:08:30.5188700,1.09124,-0.8090742,3.080723,7.373297,86.13371,5.822732
Right Controller,12:08:30.5189390,1.095591,-0.7856544,2.785762,355.2399,96.61943,353.8441
Left Controller,12:08:30.5223950,1.091252,-0.8091464,3.080768,7.413446,86.11957,5.827962
Right Controller,12:08:30.5224940,1.095571,-0.7856196,2.785768,355.2228,96.61899,353.8533
Left Controller,12:08:30.5327090,1.091252,-0.8091464,3.080768,7.413446,86.11957,5.827962
Right Controller,12:08:30.5328020,1.095571,-0.7856196,2.785768,355.2228,96.61899,353.8533
Left Controller,12:08:30.5379360,1.091243,-0.8091704,3.080775,7.432285,86.13813,5.859949
Right Controller,12:08:30.5380420,1.095548,-0.7855945,2.785779,355.205,96.61919,353.8611
Left Controller,12:08:30.5467130,1.091243,-0.8091704,3.080775,7.432285,86.13813,5.859949
Right Controller,12:08:30.5467890,1.095548,-0.7855945,2.785779,355.205,96.61919,353.8611
Left Controller,12:08:30.5505060,1.091222,-0.8091559,3.080765,7.420164,86.16182,5.886806
Right Controller,12:08:30.5506010,1.095529,-0.7855788,2.785789,355.1913,96.61796,353.867
Left Controller,12:08:30.5604080,1.091222,-0.8091559,3.080765,7.420164,86.16182,5.886806
Right Controller,12:08:30.5604770,1.095529,-0.7855788,2.785789,355.1913,96.61796,353.867
Left Controller,12:08:30.5645620,1.091204,-0.8091704,3.080753,7.422025,86.17036,5.886548
Right Controller,12:08:30.5646600,1.095517,-0.7855712,2.785789,355.1835,96.61981,353.8738
Left Controller,12:08:30.5744970,1.091204,-0.8091704,3.080753,7.422025,86.17036,5.886548
Right Controller,12:08:30.5745680,1.095517,-0.7855712,2.785789,355.1835,96.61981,353.8738
Left Controller,12:08:30.5783030,1.09121,-0.8092158,3.080762,7.439719,86.15666,5.861366
Right Controller,12:08:30.5784020,1.0955,-0.7855651,2.785776,355.1786,96.62917,353.8836
Left Controller,12:08:30.5882000,1.09121,-0.8092158,3.080762,7.439719,86.15666,5.861366
Right Controller,12:08:30.5882700,1.0955,-0.7855651,2.785776,355.1786,96.62917,353.8836
Left Controller,12:08:30.5924540,1.091218,-0.809297,3.08075,7.466815,86.15681,5.841183
Right Controller,12:08:30.5925530,1.095485,-0.7855582,2.78577,355.1751,96.63091,353.884
Left Controller,12:08:30.6023000,1.091218,-0.809297,3.08075,7.466815,86.15681,5.841183
Right Controller,12:08:30.6023750,1.095485,-0.7855582,2.78577,355.1751,96.63091,353.884
Left Controller,12:08:30.6060020,1.091238,-0.8094108,3.080716,7.501218,86.177,5.833658
Right Controller,12:08:30.6061100,1.095449,-0.7855378,2.785764,355.1618,96.62989,353.8854
Left Controller,12:08:30.6164450,1.091238,-0.8094108,3.080716,7.501218,86.177,5.833658
Right Controller,12:08:30.6165160,1.095449,-0.7855378,2.785764,355.1618,96.62989,353.8854
Left Controller,12:08:30.6220310,1.091256,-0.8095115,3.080693,7.530106,86.19009,5.825881
Right Controller,12:08:30.6221340,1.095377,-0.7854794,2.785763,355.1251,96.63534,353.9015
Left Controller,12:08:30.6300590,1.091256,-0.8095115,3.080693,7.530106,86.19009,5.825881
Right Controller,12:08:30.6301230,1.095377,-0.7854794,2.785763,355.1251,96.63534,353.9015
Left Controller,12:08:30.6366650,1.09129,-0.8096613,3.0807,7.593032,86.17802,5.801612
Right Controller,12:08:30.6367790,1.095328,-0.7854404,2.78578,355.1023,96.63418,353.912
Left Controller,12:08:30.6438760,1.09129,-0.8096613,3.0807,7.593032,86.17802,5.801612
Right Controller,12:08:30.6439460,1.095328,-0.7854404,2.78578,355.1023,96.63418,353.912
Left Controller,12:08:30.6480060,1.091315,-0.8097453,3.080729,7.630692,86.16177,5.785597
Right Controller,12:08:30.6481060,1.095252,-0.7853678,2.78579,355.065,96.63149,353.9261
Left Controller,12:08:30.6577330,1.091315,-0.8097453,3.080729,7.630692,86.16177,5.785597
