Shape,Size,Response
Hexagon, 1.05, Larger
Triangle, 1.1, Larger
Triangle, 0.9, Larger
Square, 1, Larger
Square, 1.05, Larger
Star-Separated, 1.1, Larger
Square, 0.95, Larger
Hexagon, 0.9, Larger
Square, 0.85, Larger
Octagon, 1.05, Larger
Quaterfoil-Separated, 0.85, Larger
Octagon, 0.9, Larger
Star-Separated, 1.05, Larger
Star-Separated, 0.9, Larger
Quaterfoil-Separated, 1.05, Larger
Octagon, 1, Larger
Triangle, 1, Smaller
Octagon, 1.1, Smaller
Hexagon, 0.95, Larger
Quaterfoil-Separated, 1.1, Larger
Star-Separated, 0.85, Smaller
Octagon, 0.95, Larger
Triangle, 1.15, Larger
Hexagon, 0.85, Smaller
Quaterfoil-Separated, 0.95, Smaller
Pentagon, 0.95, Smaller
Pentagon, 0.85, Larger
Pentagon, 0.9, Larger
Pentagon, 1.05, Smaller
Octagon, 1.15, Larger
Hexagon, 1.1, Larger
Square, 1.15, Larger
Quaterfoil-Separated, 1.15, Larger
Star-Separated, 0.95, Larger
Triangle, 1.05, Smaller
Octagon, 0.85, Larger
Hexagon, 1, Smaller
Quaterfoil-Separated, 1, Larger
Quaterfoil-Separated, 0.9, Larger
Square, 1.1, Larger
Triangle, 0.95, Smaller
Hexagon, 1.15, Larger
Star-Separated, 1.15, Larger
Square, 0.9, Smaller
Star-Separated, 1, Larger
Triangle, 0.85, Smaller
Pentagon, 1.1, Larger
Pentagon, 1, Larger
Pentagon, 1.15, Larger
