Trial,Shape,Size,Response
1,Triangle, 1.05, 1
2,Hexagon, 1.025, 0
3,Triangle, 0.9, 1
4,Hexagon, 0.875, 0
5,Triangle, 0.95, 0
6,Square, 0.975, -1
7,Square, 1.075, -1
8,Quaterfoil-Separated, 0.95, 1
9,Star-Separated, 0.9, 0
10,Star-Separated, 0.975, 0
11,Pentagon, 0.95, -1
12,Pentagon, 1.075, -1
13,Octagon, 0.975, -1
14,Star-Separated, 0.925, 0
15,Hexagon, 1, 1
16,Quaterfoil-Separated, 0.875, -1
17,Star-Separated, 0.95, 0
18,Quaterfoil-Separated, 1.075, 1
19,Square, 1.05, 1
20,Pentagon, 1.05, 1
21,Star-Separated, 1.125, -1
22,Star-Separated, 1.05, 0
23,Square, 1.1, -1
24,Hexagon, 1.05, -1
25,Hexagon, 1.1, -1
26,Triangle, 1.125, -1
27,Pentagon, 0.875, 0
28,Octagon, 0.875, -1
29,Pentagon, 1.025, 1
30,Octagon, 1.025, 0
31,Square, 0.95, 1
32,Quaterfoil-Separated, 0.9, 0
33,Square, 1.025, 1
34,Quaterfoil-Separated, 1, 0
35,Star-Separated, 0.875, 0
36,Triangle, 1.1, 1
37,Star-Separated, 1.025, 0
38,Quaterfoil-Separated, 0.925, 0
39,Octagon, 1.075, 1
40,Quaterfoil-Separated, 1.025, 0
41,Octagon, 0.95, 0
42,Quaterfoil-Separated, 0.975, 0
43,Quaterfoil-Separated, 1.1, 1
44,Octagon, 1.05, 1
45,Triangle, 0.875, 0
46,Square, 0.875, 0
47,Pentagon, 0.975, 1
48,Square, 1, 1
49,Octagon, 1.1, 1
50,Octagon, 1, 0
51,Square, 0.9, 0
52,Pentagon, 1.125, 1
53,Star-Separated, 1.1, 0
54,Hexagon, 0.925, 1
55,Pentagon, 1, 1
56,Hexagon, 0.975, 1
57,Octagon, 0.9, 0
58,Triangle, 1.025, 1
59,Triangle, 0.975, 0
60,Pentagon, 0.925, 1
61,Pentagon, 1.1, 1
62,Octagon, 1.125, 0
63,Triangle, 1, 1
64,Square, 0.925, 0
65,Square, 1.125, 1
66,Quaterfoil-Separated, 1.05, 0
67,Quaterfoil-Separated, 1.125, 1
68,Hexagon, 0.9, 0
69,Hexagon, 0.95, 1
70,Triangle, 0.925, 0
71,Hexagon, 1.075, 1
72,Octagon, 0.925, 0
73,Star-Separated, 1, 0
74,Hexagon, 1.125, 1
75,Star-Separated, 1.075, 0
76,Pentagon, 0.9, 1
77,Triangle, 1.075, 1
